species ,count,weight,mortality.rate,biomass,age,forage.category,,,,,,
wildebeest,12,0,0.7,0,first.year,grazer,,,,,,
wildebeest,21665,290,0.12,753942,adult,grazer,,,,,,
zebra,29,0,0.7,0,first.year,grazer,,,,,,
zebra,19136,350,0.12,803712,adult,grazer,,,,,,
thomson gz,344,0,0.75,0,first.year,grazer,,,,,,
thomson gz,27363,35,0.2,191541,adult,grazer,,,,,,
grant gz,555,0,0.75,0,first.year,grazer,,,,,,
grant gz,6476,80,0.1,51808,adult,grazer,,,,,,
topi,267,0,0.75,0,first.year,grazer,,,,,,
topi,1918,155,0.1,29729,adult,grazer,,,,,,
hartebeest,147,0,0.75,0,first.year,grazer,,,,,,
hartebeest,1384,150,0.1,20760,adult,grazer,,,,,,
impala,633,0,0.75,0,first.year,mixed-feeder,,,,,,
impala,5359,75,0.1,40192.5,adult,mixed-feeder,,,,,,
waterbuck,35,0,0.75,0,first.year,grazer,,,,,,
waterbuck,179,262,0.1,4689.8,adult,grazer,,,,,,
warthog,114,0,0.1,0,first.year,grazer,,,,,,
warthog,663,150,0.6,59670,adult,grazer,,,,,,
buffalo,38,0,0.7,0,first.year,grazer,,,,,,
buffalo,4864,751,0.06,21917.84,adult,grazer,,,,,,
giraffe,24,0,,0,first.year,browser,,,,,,
giraffe,225,1192,0.07,18774,adult,browser,,,,,,
elephant,0,0,,4500,first.year,mixed-feeder,,,,,,
elephant,302,6000,0.02,36240,adult,mixed-feeder,,,,,,
eland,0,0,0.75,0,first.year,mixed-feeder,,,,,,
eland,69,942,0.1,6499.8,adult,mixed-feeder,,,,,,
reedbuck,0,0,0.01,0,first.year,grazer,,,,,,
reedbuck,6,68,1,408,adult,grazer,,,,,,
klipsringer,0,0,0.01,0,first.year,browser,,,,,,
klipsringer,5,18,1,408,adult,browser,,,,,,
dik-dik,0,0,0.5,0,first.year,browser,,,,,,
dik-dik,67,5,1,335,adult,browser,,,,,,
steinbuck,0,0,0.5,0,first.year,grazer,,,,,,
steinbuck,3,16,1,48,adult,grazer,,,,,,
hippo,0,0,0.01,0,first.year,grazer,,,,,,
hippo,793,4500,0.02,71370,adult,grazer,,,,,,
donkey,0,0,,0,first.year,grazer,,,,,,
donkey,177,160,0.01,283.2,adult,grazer,,,,,,
sheep,0,0,,0,first.year,grazer,,,,,,
sheep,4844,60,0.01,2906.4,adult,grazer,,,,,,
goat,0,0,,0,first.year,grazer,,,,,,
goat,3070,90,0.01,2763,adult,grazer,,,,,,
