animal ID,date,location,season,species,d13C,d15N,d34S,tissue type,t.subset,weight,long,lat,C/N ratio
AWB-1,01.11.2018,RGR,short rains,AWB,-12.91,11.78,7.41,Feather,basal.barbs,n/a,31.82,-7.39,3.4
AWB-1,01.11.2018,RGR,short rains,AWB,-12.64,11.90,6.75,Feather,proximal.barbs,n/a,31.82,-7.39,3.411
AWB-1,01.11.2018,RGR,short rains,AWB,n/a,n/a,n/a,Blood,blood,n/a,31.82,-7.39,n/a
AWB-2,31.10.2018,RGR,dry season,AWB,-15.42,9.66,10.57,Feather,basal.barbs,n/a,31.82,-7.39,3.32
AWB-2,31.10.2018,RGR,dry season,AWB,-13.09,8.99,11.87,Feather,proximal.barbs,n/a,31.82,-7.39,3.487
AWB-2,31.10.2018,RGR,dry season,AWB,n/a,n/a,n/a,Blood,blood,n/a,31.82,-7.39,n/a
AWB-013,18.04.2019,SGR,long rains,AWB,-10.71,13.26,11.06,Feather,basal.barbs,12.01,37.74,-7.5,3.30
AWB-013,18.04.2019,SGR,long rains,AWB,-12.76,10.55,10.84,Feather,proximal.barbs,12.01,37.74,-7.5,3.52
AWB-013,18.04.2019,SGR,long rains,AWB,-11.99,10.43,11.25,Blood,blood,12.01,37.74,-7.5,n/a
AWB-014,18.04.2019,SGR,long rains,AWB,-11.06,12.11,15.63,Feather,basal.barbs,12.12,37.74,-7.5,3.32
AWB-014,18.04.2019,SGR,long rains,AWB,-15.46,11.90,16.03,Feather,proximal.barbs,12.12,37.74,-7.5,3.64
AWB-014,18.04.2019,SGR,long rains,AWB,-12.67,10.39,14.24,Blood,blood,12.12,37.74,-7.5,n/a
AWB-0111,27.11.2018,SER,short rains,AWB,-9.76,12.41,6.31,Feather,basal.barbs,12.90,34.64,-2.08,3.294
AWB-0111,27.11.2018,SER,short rains,AWB,-11.87,12.90,6.99,Feather,proximal.barbs,12.90,34.64,-2.08,3.38
AWB-0111,27.11.2018,SER,short rains,AWB,-11.38,10.12,11.72,Blood,blood,12.9,34.64,-2.08,n/a
RPV-0114,29.11.2018,SER,short rains,RPV,-10.50,13.65,8.76,Feather,basal.barbs,15.70,34.64,-2.08,3.291
RPV-0114,29.11.2018,SER,short rains,RPV,-11.20,12.82,9.73,Feather,proximal.barbs,15.70,34.64,-2.08,3.345
RPV-0114,29.11.2018,SER,short rains,RPV,-10.57,10.80,11.68,Blood,blood,15.7,34.64,-2.08,n/a
AWB-0115,19.01.2019,SER,short rains,AWB,-8.89,12.00,9.72,Feather,basal.barbs,13.30,34.77,-2.63,3.24
